Model,Feature_Set,Configuration,Fold,Accuracy
DecisionTree,Q1-2 only,max_depth=3,1,0.5425531914893617
DecisionTree,Q1-2 only,max_depth=3,2,0.4838709677419355
DecisionTree,Q1-2 only,max_depth=3,3,0.46236559139784944
DecisionTree,Q1-2 only,max_depth=3,4,0.4731182795698925
DecisionTree,Q1-2 only,max_depth=3,5,0.4838709677419355
DecisionTree,Q1-2 only,max_depth=5,1,0.5212765957446809
DecisionTree,Q1-2 only,max_depth=5,2,0.46236559139784944
DecisionTree,Q1-2 only,max_depth=5,3,0.46236559139784944
DecisionTree,Q1-2 only,max_depth=5,4,0.4731182795698925
DecisionTree,Q1-2 only,max_depth=5,5,0.5053763440860215
DecisionTree,Q1-2 only,max_depth=10,1,0.5
DecisionTree,Q1-2 only,max_depth=10,2,0.46236559139784944
DecisionTree,Q1-2 only,max_depth=10,3,0.46236559139784944
DecisionTree,Q1-2 only,max_depth=10,4,0.4946236559139785
DecisionTree,Q1-2 only,max_depth=10,5,0.5053763440860215
NaiveBayes,Q1-2 only,var_smoothing=1e-09,1,0.5
NaiveBayes,Q1-2 only,var_smoothing=1e-09,2,0.5161290322580645
NaiveBayes,Q1-2 only,var_smoothing=1e-09,3,0.5053763440860215
NaiveBayes,Q1-2 only,var_smoothing=1e-09,4,0.4731182795698925
NaiveBayes,Q1-2 only,var_smoothing=1e-09,5,0.5268817204301075
NaiveBayes,Q1-2 only,var_smoothing=1e-08,1,0.5
NaiveBayes,Q1-2 only,var_smoothing=1e-08,2,0.5161290322580645
NaiveBayes,Q1-2 only,var_smoothing=1e-08,3,0.5053763440860215
NaiveBayes,Q1-2 only,var_smoothing=1e-08,4,0.4731182795698925
NaiveBayes,Q1-2 only,var_smoothing=1e-08,5,0.5268817204301075
NaiveBayes,Q1-2 only,var_smoothing=1e-07,1,0.5
NaiveBayes,Q1-2 only,var_smoothing=1e-07,2,0.5161290322580645
NaiveBayes,Q1-2 only,var_smoothing=1e-07,3,0.5053763440860215
NaiveBayes,Q1-2 only,var_smoothing=1e-07,4,0.4731182795698925
NaiveBayes,Q1-2 only,var_smoothing=1e-07,5,0.5268817204301075
